,coin_name,coin_mean,gecko_mean,mean_diff,coin_std,gecko_std,std_diff,coin_range,gecko_range,range_diff
0,DAG,0.0102,0.0102,0.0,0.0002,0.0002,0.0,0.0012,0.0011,-0.0833333333333332
1,LAMB,0.0153,0.0154,0.006535947712418375,0.0004,0.0004,0.0,0.002,0.002,0.0
2,ZT,0.0533,0.0532,-0.0018761726078799787,0.0019,0.0019,0.0,0.0063,0.0061,-0.03174603174603169
3,ENG,0.4928,0.4262,-0.13514610389610388,0.0165,0.068,3.121212121212121,0.0675,0.2346,2.4755555555555553
4,WOM,0.2149,0.215,0.0004653327128896649,0.007,0.0072,0.028571428571428522,0.0452,0.0492,0.08849557522123902
5,NOIA,0.066,0.0671,0.016666666666666722,0.0027,0.0039,0.4444444444444443,0.012,0.016,0.3333333333333333
6,GAS,1.3687,1.367,-0.0012420545042741541,0.0399,0.0401,0.005012531328320772,0.15,0.15,0.0
7,RING,0.0384,0.0384,0.0,0.001,0.001,0.0,0.0058,0.0055,-0.051724137931034475
8,COS,0.006,0.006,0.0,0.0002,0.0002,0.0,0.0006,0.0007,0.16666666666666677
9,PRQ,0.1093,0.1111,0.016468435498627722,0.0198,0.0192,-0.030303030303030467,0.1016,0.0878,-0.13582677165354323
10,FSN,0.2601,0.2598,-0.0011534025374856688,0.0068,0.0062,-0.08823529411764704,0.0231,0.0196,-0.15151515151515152
11,XCM,0.038,0.038,0.0,0.0008,0.0009,0.12499999999999992,0.0038,0.0049,0.28947368421052627
12,PPT,0.1985,0.1938,-0.023677581863979898,0.0085,0.0069,-0.18823529411764714,0.043,0.0319,-0.25813953488372093
13,ZNN,2.7255,2.7374,0.0043661713447074825,0.0477,0.0519,0.08805031446540885,0.29,0.3,0.03448275862068969
14,BZ,0.1141,0.1132,-0.007887817703768608,0.0014,0.0012,-0.14285714285714293,0.008,0.0064,-0.19999999999999998
15,ARRR,0.085,0.0826,-0.02823529411764705,0.001,0.0013,0.29999999999999993,0.0048,0.0051,0.06250000000000017
16,GRS,0.1813,0.1811,-0.001103143960286696,0.004,0.0038,-0.050000000000000024,0.0196,0.0203,0.03571428571428568
17,LTO,0.058,0.058,0.0,0.0022,0.0022,0.0,0.007,0.0076,0.08571428571428569
18,QASH,0.0371,0.0365,-0.016172506738544562,0.0004,0.0006,0.4999999999999998,0.0018,0.0028,0.5555555555555556
19,BEL,0.8116,0.8235,0.01466239526860525,0.0183,0.0186,0.01639344262295072,0.0722,0.0735,0.018005540166204925
20,ETP,0.1624,0.1636,0.007389162561576396,0.0066,0.0064,-0.030303030303030252,0.0199,0.0192,-0.035175879396985056
21,B2B,0.7505,0.7509,0.0005329780146569846,0.0024,0.003,0.2500000000000001,0.0281,0.0191,-0.3202846975088968
22,DUSK,0.0391,0.0391,0.0,0.0017,0.0018,0.05882352941176473,0.0065,0.0076,0.1692307692307693
23,PNT,0.4252,0.4255,0.0007055503292567426,0.0091,0.0091,0.0,0.0426,0.04,-0.061032863849765216
24,ARPA,0.0143,0.0143,0.0,0.0006,0.0006,0.0,0.0023,0.0022,-0.04347826086956515
25,KAN,0.0022,0.0022,0.0,0.0,0.0,,0.0,0.0001,inf
26,AERGO,0.0435,0.0435,0.0,0.0005,0.0005,0.0,0.0032,0.0031,-0.03125000000000008
27,ZAP,0.048,0.05,0.041666666666666706,0.0015,0.0011,-0.26666666666666666,0.007,0.0054,-0.22857142857142854
28,NKN,0.0176,0.0176,0.0,0.0005,0.0005,0.0,0.0022,0.0022,0.0
29,DGD,75.4117,75.3787,-0.0004375978793741721,1.4142,1.4112,-0.0021213406873143064,4.89,5.09,0.04089979550102253
30,XVS,2.9508,2.9501,-0.0002372238037142961,0.1382,0.1372,-0.007235890014471787,0.76,0.69,-0.09210526315789481
31,NXS,0.1799,0.18,0.0005558643690938798,0.003,0.003,0.0,0.02,0.0198,-0.00999999999999994
32,COCOS,0.0003,0.0003,0.0,0.0,0.0,,0.0,0.0,
33,BOT,468.3755,468.4821,0.00022759516669854522,50.7205,50.5073,-0.004203428593961032,184.49,184.57,0.00043362783890717155
34,CHR,0.0251,0.0252,0.003984063745019896,0.0014,0.0013,-0.07142857142857147,0.0048,0.0045,-0.062499999999999986
35,EMC2,0.0466,0.0466,0.0,0.0009,0.0009,0.0,0.0044,0.0044,0.0
36,ACH,0.011,0.0111,0.009090909090909195,0.0005,0.0005,0.0,0.0019,0.0018,-0.052631578947368446
37,1ST,0.1226,0.1226,0.0,0.0062,0.0081,0.30645161290322576,0.024,0.027,0.12499999999999996
